,,더불어민주당,자유한국당,국민의당,바른정당,정의당
시도명,투표수,문재인,홍준표,안철수,유승민,심상정
합계,"32,501,220","13,423,800","7,852,849","6,998,342","2,208,771","2,017,458"
서울특별시,"6,541,829","2,781,345","1,365,285","1,492,767","476,973","425,459"
부산광역시,"2,243,327","872,127","720,484","378,907","162,480","109,329"
대구광역시,"1,565,481","342,620","714,205","235,757","198,459","74,440"
인천광역시,"1,803,785","747,090","379,191","428,888","118,691","129,925"
광주광역시,"950,532","583,847","14,882","287,222","20,862","43,719"
대전광역시,"938,179","404,545","191,376","218,769","59,820","63,669"
울산광역시,"737,392","282,794","203,602","128,520","60,289","62,187"
세종특별자치시,"151,533","77,767","23,211","32,010","9,192","9,353"
경기도,"6,213,516","3,319,812","1,637,345","1,807,308","540,023","546,373"
강원도,"944,184","324,768","284,909","206,840","65,278","62,389"
충청북도,"964,139","374,806","255,502","211,454","57,282","65,095"
충청남도,"1,225,880","476,661","306,614","290,216","68,521","83,868"
전라북도,"1,194,543","778,747","40,231","285,467","30,802","59,296"
전라남도,"1,221,649","737,921","30,221","378,179","25,819","49,509"
경상북도,"1,687,965","369,726","827,237","253,905","149,017","88,080"
경상남도,"2,110,024","779,731","790,491","284,272","142,479","113,051"
제주특별자치도,"369,917","169,493","68,063","77,861","22,784","31,716"
